segment,RMSE,MAE,MAPE,R2,WAPE
hour_bucket=0,1193.7825,662.9459,13.4191,0.8215,13.5552
hour_bucket=1,930.0507,575.9007,31.2911,0.8643,14.4941
hour_bucket=2,528.472,384.7886,73.3909,0.6543,20.9846
hour_bucket=3,669.8312,402.4695,28.8342,0.8094,13.8057
hour_bucket=4,1385.4401,890.0645,14.941,0.7681,12.84
OVERALL,1029.7757,596.5192,29.2159,0.8714,14.0713
