feature,importance
mcp_lag_1d,0.619605
mcp_rolling_7d_mean,0.15394248
is_weekend,0.046269096
day_of_week,0.028688591
is_holiday,0.015013728
mcp_lag_7d,0.014900881
hour_bucket,0.013583151
hour,0.013196065
day_of_year,0.012832554
block,0.012158772
season,0.010660693
month,0.009963526
mcp_rolling_7d_std,0.009297055
mumbai_apparent_temp,0.009219779
delhi_apparent_temp,0.008149797
year,0.0080652395
mcp_rolling_30d_std,0.0074956655
mcp_rolling_30d_mean,0.0069579207
