date,time_block,purchase_bid_mw,sell_bid_mw,mcv_mw,final_scheduled_volume_mw,mcp_rs_per_mwh
2020-04-07,00:00 - 00:15,4736.9,8790.5,4477.7,4477.7,2674.72
2020-04-07,00:15 - 00:30,4803.9,9013.5,4537.8,4537.8,2718.05
2020-04-07,00:30 - 00:45,4744.9,9311.5,4485.7,4485.7,2673.25
2020-04-07,00:45 - 01:00,4660.8,9459.7,4434.4,4434.4,2499.95
2020-04-07,01:00 - 01:15,4565.6,10024.4,4340.8,4340.8,2455.64
2020-04-07,01:15 - 01:30,4498.0,10082.4,4273.2,4273.2,2455.26
2020-04-07,01:30 - 01:45,4694.8,10166.4,4470.0,4470.0,2455.68
2020-04-07,01:45 - 02:00,4629.8,10079.3,4405.0,4405.0,2455.38
2020-04-07,02:00 - 02:15,4696.2,10475.4,4469.9,4469.9,2448.04
2020-04-07,02:15 - 02:30,4610.2,10719.4,4384.9,4384.9,2389.92
2020-04-07,02:30 - 02:45,4746.0,10702.5,4519.7,4519.7,2448.63
2020-04-07,02:45 - 03:00,4687.4,10825.5,4462.1,4462.1,2389.92
2020-04-07,03:00 - 03:15,4749.9,10872.5,4525.7,4525.7,2389.81
2020-04-07,03:15 - 03:30,4635.9,10915.6,4411.7,4411.7,2389.42
2020-04-07,03:30 - 03:45,4623.9,10948.5,4399.7,4399.7,2389.37
2020-04-07,03:45 - 04:00,4537.9,10998.5,4314.0,4314.0,2349.82
2020-04-07,04:00 - 04:15,4680.1,11176.5,4455.9,4455.9,2389.17
2020-04-07,04:15 - 04:30,4727.4,11015.5,4503.2,4503.2,2389.85
2020-04-07,04:30 - 04:45,4922.3,10672.5,4698.1,4698.1,2389.61
2020-04-07,04:45 - 05:00,5067.3,10887.2,4843.1,4843.1,2389.41
2020-04-07,05:00 - 05:15,5437.7,10696.7,5211.8,5211.8,2395.2
2020-04-07,05:15 - 05:30,5829.7,11143.6,5602.8,5602.8,2494.37
2020-04-07,05:30 - 05:45,6459.4,11515.5,6186.5,6186.5,2790.27
2020-04-07,05:45 - 06:00,7002.7,11684.9,6675.2,6675.2,2932.19
2020-04-07,06:00 - 06:15,7402.6,12016.7,7211.3,7211.3,2858.86
2020-04-07,06:15 - 06:30,7967.6,11993.9,7774.66,7774.66,3000.41
2020-04-07,06:30 - 06:45,8182.9,12734.6,7977.7,7977.7,3058.13
2020-04-07,06:45 - 07:00,8080.9,12781.3,7914.2,7914.2,2898.97
2020-04-07,07:00 - 07:15,7386.9,12772.5,7249.54,7249.54,2700.53
2020-04-07,07:15 - 07:30,7268.2,13050.9,7131.0,7131.0,2599.06
2020-04-07,07:30 - 07:45,6685.3,13170.3,6553.9,6553.9,2499.53
2020-04-07,07:45 - 08:00,6328.3,12942.7,6196.9,6196.9,2499.19
2020-04-07,08:00 - 08:15,6385.4,12269.0,6254.0,6254.0,2499.36
2020-04-07,08:15 - 08:30,5684.4,11377.8,5553.0,5553.0,2443.68
2020-04-07,08:30 - 08:45,5120.2,10860.7,4988.8,4988.8,2499.42
2020-04-07,08:45 - 09:00,4521.6,10301.3,4390.2,4390.2,2499.64
2020-04-07,09:00 - 09:15,4603.0,10415.5,4439.9,4439.9,2499.96
2020-04-07,09:15 - 09:30,4441.1,9922.5,4278.0,4278.0,2499.54
2020-04-07,09:30 - 09:45,3799.1,9709.8,3636.0,3636.0,2389.08
2020-04-07,09:45 - 10:00,3567.1,10359.7,3404.0,3404.0,2349.32
2020-04-07,10:00 - 10:15,3070.1,11265.5,2930.4,2930.4,2232.72
2020-04-07,10:15 - 10:30,3249.4,11901.5,3005.7,3005.7,2319.0
2020-04-07,10:30 - 10:45,3518.3,12394.3,3274.6,3274.6,2389.39
2020-04-07,10:45 - 11:00,3770.2,13083.8,3526.5,3526.5,2389.94
2020-04-07,11:00 - 11:15,3747.4,14972.4,3543.7,3543.7,2200.86
2020-04-07,11:15 - 11:30,4097.8,15569.2,3979.1,3979.1,2218.86
2020-04-07,11:30 - 11:45,4294.9,15864.6,4176.2,4176.2,2389.09
2020-04-07,11:45 - 12:00,4548.2,16144.2,4429.5,4429.5,2443.23
2020-04-07,12:00 - 12:15,4648.9,16361.9,4524.8,4524.8,2499.24
2020-04-07,12:15 - 12:30,4724.9,16236.9,4600.8,4600.8,2499.21
2020-04-07,12:30 - 12:45,4722.6,16235.9,4598.5,4598.5,2499.1
2020-04-07,12:45 - 13:00,4553.6,16304.9,4429.5,4429.5,2443.76
2020-04-07,13:00 - 13:15,4549.0,16758.7,4431.9,4431.9,2218.94
2020-04-07,13:15 - 13:30,4552.3,16879.8,4539.2,4539.2,2079.72
2020-04-07,13:30 - 13:45,4249.2,16984.8,4236.1,4236.1,2061.7
2020-04-07,13:45 - 14:00,4246.2,17036.6,4233.1,4233.1,2061.57
2020-04-07,14:00 - 14:15,4321.0,16555.5,4307.9,4307.9,2061.68
2020-04-07,14:15 - 14:30,4245.6,16597.4,4232.5,4232.5,2061.34
2020-04-07,14:30 - 14:45,4446.4,14926.9,4433.3,4433.3,2061.89
2020-04-07,14:45 - 15:00,4594.7,14834.5,4581.6,4581.6,2075.86
2020-04-07,15:00 - 15:15,4943.7,14476.9,4930.6,4930.6,2128.61
2020-04-07,15:15 - 15:30,5092.7,14312.9,5022.9,5022.9,2200.55
2020-04-07,15:30 - 15:45,5238.7,14182.4,5143.4,5143.4,2200.79
2020-04-07,15:45 - 16:00,5334.6,14231.5,5238.4,5238.4,2200.8
2020-04-07,16:00 - 16:15,5277.1,13831.2,5164.0,5164.0,2218.27
2020-04-07,16:15 - 16:30,5173.4,13771.7,5084.8,5084.8,2200.76
2020-04-07,16:30 - 16:45,5367.3,13498.0,5250.2,5250.2,2318.44
2020-04-07,16:45 - 17:00,4914.3,13293.4,4901.2,4901.2,2128.46
2020-04-07,17:00 - 17:15,3811.8,13335.2,3798.7,3798.7,2061.7
2020-04-07,17:15 - 17:30,3262.8,13361.2,3257.8,3257.8,1999.08
2020-04-07,17:30 - 17:45,3169.6,12501.4,3164.6,3164.6,1989.38
2020-04-07,17:45 - 18:00,2882.9,11445.3,2877.9,2877.9,1988.55
2020-04-07,18:00 - 18:15,2436.0,10794.3,2436.0,2436.0,1609.26
2020-04-07,18:15 - 18:30,2447.0,10029.0,2447.0,2447.0,1499.98
2020-04-07,18:30 - 18:45,2848.0,10044.3,2848.0,2848.0,1618.36
2020-04-07,18:45 - 19:00,3103.1,9315.6,3103.1,3103.1,1699.95
2020-04-07,19:00 - 19:15,3741.4,8412.2,3633.9,3633.9,2349.92
2020-04-07,19:15 - 19:30,4121.6,8459.5,4014.1,4014.1,2349.54
2020-04-07,19:30 - 19:45,4456.8,8561.9,4349.3,4349.3,2349.78
2020-04-07,19:45 - 20:00,4262.8,8594.2,4255.3,4255.3,2189.73
2020-04-07,20:00 - 20:15,4113.7,8946.9,4104.3,4104.3,1809.95
2020-04-07,20:15 - 20:30,4000.7,9264.6,3991.3,3991.3,1688.81
2020-04-07,20:30 - 20:45,3855.7,9212.8,3846.3,3846.3,1699.11
2020-04-07,20:45 - 21:00,3741.0,9133.7,3731.6,3731.6,1889.72
2020-04-07,21:00 - 21:15,3983.5,8889.8,3866.6,3866.6,2399.02
2020-04-07,21:15 - 21:30,3703.5,9155.3,3686.6,3686.6,2189.37
2020-04-07,21:30 - 21:45,3663.8,8859.6,3609.7,3609.7,2200.37
2020-04-07,21:45 - 22:00,3446.8,8751.0,3436.3,3436.3,1989.02
2020-04-07,22:00 - 22:15,3423.7,8343.6,3249.2,3249.2,2200.96
2020-04-07,22:15 - 22:30,3195.0,8055.2,3124.8,3124.8,2150.85
2020-04-07,22:30 - 22:45,3029.1,8162.2,2991.1,2991.1,1687.24
2020-04-07,22:45 - 23:00,3165.1,8529.0,3127.1,3127.1,1613.69
2020-04-07,23:00 - 23:15,3177.6,9222.7,3140.7,3140.7,1599.67
2020-04-07,23:15 - 23:30,3491.4,9614.3,3453.4,3453.4,1602.7
