date,time_block,purchase_bid_mw,sell_bid_mw,mcv_mw,final_scheduled_volume_mw,mcp_rs_per_mwh
2022-01-01,00:00 - 00:15,6400.7,18890.7,5511.5,5511.5,1999.11
2022-01-01,00:15 - 00:30,6554.7,19024.0,5665.4,5665.4,1999.35
2022-01-01,00:30 - 00:45,6863.7,19600.1,5837.5,5837.5,1999.5
2022-01-01,00:45 - 01:00,6772.3,20170.2,5746.2,5746.2,1999.44
2022-01-01,01:00 - 01:15,7099.0,21245.4,5807.8,5807.8,1999.24
2022-01-01,01:15 - 01:30,7027.4,21555.0,5736.4,5736.4,1999.01
2022-01-01,01:30 - 01:45,6882.6,22438.2,5666.2,5666.2,1899.81
2022-01-01,01:45 - 02:00,6840.3,23080.7,5624.1,5624.1,1899.55
2022-01-01,02:00 - 02:15,6828.1,23660.7,5622.0,5622.0,1899.07
2022-01-01,02:15 - 02:30,6869.0,24031.2,5662.8,5662.8,1899.03
2022-01-01,02:30 - 02:45,6866.6,24015.8,5660.4,5660.4,1899.06
2022-01-01,02:45 - 03:00,6833.0,24072.8,5652.69,5652.69,1800.55
2022-01-01,03:00 - 03:15,7196.0,24008.1,5987.7,5987.7,1899.51
2022-01-01,03:15 - 03:30,7296.2,23961.3,6088.0,6088.0,1899.69
2022-01-01,03:30 - 03:45,7392.4,23916.5,6184.2,6184.2,1899.87
2022-01-01,03:45 - 04:00,7575.8,23977.6,6361.1,6361.1,1900.1
2022-01-01,04:00 - 04:15,7635.8,23384.0,6414.9,6414.9,1899.91
2022-01-01,04:15 - 04:30,7301.2,22452.2,6080.4,6080.4,1899.98
2022-01-01,04:30 - 04:45,6841.4,22097.5,5802.9,5802.9,1999.06
2022-01-01,04:45 - 05:00,6812.5,21098.9,5774.0,5774.0,1999.32
2022-01-01,05:00 - 05:15,7714.9,18560.0,6492.0,6492.0,2355.5
2022-01-01,05:15 - 05:30,7824.4,17015.0,6327.0,6327.0,2538.69
2022-01-01,05:30 - 05:45,7765.6,16585.5,6517.5,6517.5,2599.69
2022-01-01,05:45 - 06:00,7954.6,16104.5,6575.0,6575.0,2808.62
2022-01-01,06:00 - 06:15,8621.3,14884.6,7230.9,7230.9,3019.23
2022-01-01,06:15 - 06:30,9984.4,13466.1,8447.1,8447.1,3419.26
2022-01-01,06:30 - 06:45,10003.7,12309.4,8745.7,8745.7,3499.59
2022-01-01,06:45 - 07:00,10525.4,12294.1,9150.4,9150.4,3699.44
2022-01-01,07:00 - 07:15,11407.4,13359.5,9932.9,9932.9,3715.52
2022-01-01,07:15 - 07:30,12649.4,13471.7,10979.7,10979.7,3959.21
2022-01-01,07:30 - 07:45,13896.2,14030.4,11985.38,11985.38,4200.67
2022-01-01,07:45 - 08:00,14092.2,14318.7,12273.7,12273.7,4100.29
2022-01-01,08:00 - 08:15,14647.1,14102.4,12449.6,12449.6,4613.35
2022-01-01,08:15 - 08:30,15198.2,14565.8,13006.2,13006.2,4613.28
2022-01-01,08:30 - 08:45,15848.1,14699.1,13447.5,13447.5,5770.06
2022-01-01,08:45 - 09:00,15853.1,14522.6,13271.0,13271.0,5770.11
2022-01-01,09:00 - 09:15,15540.0,14165.5,12933.3,12933.3,5550.06
2022-01-01,09:15 - 09:30,15454.8,13669.3,12426.6,12426.6,5550.3
2022-01-01,09:30 - 09:45,14821.3,13172.5,11929.8,11929.8,5550.19
2022-01-01,09:45 - 10:00,14464.0,12450.6,11207.9,11207.9,5250.47
2022-01-01,10:00 - 10:15,12637.7,11929.0,10080.5,10080.5,4468.19
2022-01-01,10:15 - 10:30,12073.9,11190.0,9571.9,9571.9,4599.04
2022-01-01,10:30 - 10:45,11230.2,10409.3,8785.0,8785.0,4613.23
2022-01-01,10:45 - 11:00,10874.8,10530.8,8407.4,8407.4,4350.2
2022-01-01,11:00 - 11:15,10057.3,10935.5,8095.6,8095.6,3750.88
2022-01-01,11:15 - 11:30,10192.7,11004.6,8170.05,8170.05,3900.86
2022-01-01,11:30 - 11:45,9843.8,11272.7,7926.5,7926.5,3699.3
2022-01-01,11:45 - 12:00,9724.2,11416.0,7845.3,7845.3,3569.79
2022-01-01,12:00 - 12:15,9776.4,11467.8,7727.5,7727.5,3569.46
2022-01-01,12:15 - 12:30,9433.8,11306.7,7384.9,7384.9,3569.09
2022-01-01,12:30 - 12:45,8778.9,11713.0,6490.8,6490.8,3415.45
2022-01-01,12:45 - 13:00,8190.9,12509.8,6049.49,6049.49,3170.64
2022-01-01,13:00 - 13:15,7025.7,13159.8,5570.8,5570.8,2819.72
2022-01-01,13:15 - 13:30,6877.6,13839.3,5422.7,5422.7,2819.37
2022-01-01,13:30 - 13:45,6897.8,13974.4,5576.1,5576.1,2669.48
2022-01-01,13:45 - 14:00,6697.5,14138.3,5379.8,5379.8,2649.24
2022-01-01,14:00 - 14:15,6761.1,14901.3,5748.7,5748.7,2539.17
2022-01-01,14:15 - 14:30,6905.3,14854.8,5892.9,5892.9,2559.34
2022-01-01,14:30 - 14:45,6968.4,14440.3,5956.0,5956.0,2539.0
2022-01-01,14:45 - 15:00,7332.0,14388.3,6319.6,6319.6,2559.06
2022-01-01,15:00 - 15:15,8113.0,13583.5,6839.9,6839.9,2923.29
2022-01-01,15:15 - 15:30,8768.8,14126.0,7314.2,7314.2,3000.39
2022-01-01,15:30 - 15:45,8880.4,14103.5,7673.9,7673.9,3001.35
2022-01-01,15:45 - 16:00,9500.3,14537.7,8248.9,8248.9,3250.2
2022-01-01,16:00 - 16:15,10434.9,14315.0,9157.1,9157.1,3415.17
2022-01-01,16:15 - 16:30,10953.0,13884.5,9639.22,9639.22,3500.4
2022-01-01,16:30 - 16:45,10894.6,13290.8,9440.57,9440.57,3800.02
2022-01-01,16:45 - 17:00,10922.7,12421.1,9347.3,9347.3,4359.45
2022-01-01,17:00 - 17:15,10992.7,11880.8,8863.4,8863.4,4468.07
2022-01-01,17:15 - 17:30,10019.4,11102.0,7941.2,7941.2,3959.67
2022-01-01,17:30 - 17:45,9340.2,10878.1,7276.31,7276.31,3800.94
2022-01-01,17:45 - 18:00,9176.6,10705.1,7136.96,7136.96,3800.02
2022-01-01,18:00 - 18:15,9803.4,10800.3,8036.7,8036.7,4067.38
