date,time_block,purchase_bid_mw,sell_bid_mw,mcv_mw,final_scheduled_volume_mw,mcp_rs_per_mwh
2023-01-01,00:00 - 00:15,7961.5,13821.5,5624.2,5624.2,2890.56
2023-01-01,00:15 - 00:30,7965.9,14900.7,6405.6,6405.6,2771.61
2023-01-01,00:30 - 00:45,8002.2,15864.8,6384.5,6384.5,2750.58
2023-01-01,00:45 - 01:00,7981.9,16980.6,6665.4,6665.4,2543.42
2023-01-01,01:00 - 01:15,8041.5,17926.4,6582.9,6582.9,2543.25
2023-01-01,01:15 - 01:30,8010.8,18638.0,6552.4,6552.4,2543.16
2023-01-01,01:30 - 01:45,7978.2,18830.5,6567.3,6567.3,2450.0
2023-01-01,01:45 - 02:00,7928.1,18909.8,6517.2,6517.2,2449.45
2023-01-01,02:00 - 02:15,8037.4,19083.1,6488.5,6488.5,2449.57
2023-01-01,02:15 - 02:30,8077.1,19249.3,6528.3,6528.3,2449.34
2023-01-01,02:30 - 02:45,8069.9,19322.8,6521.2,6521.2,2419.99
2023-01-01,02:45 - 03:00,8048.5,19359.1,6500.3,6500.3,2419.16
2023-01-01,03:00 - 03:15,8099.8,19491.9,6594.0,6594.0,2360.82
2023-01-01,03:15 - 03:30,8243.7,19522.2,6695.6,6695.6,2449.27
2023-01-01,03:30 - 03:45,8216.0,19554.7,6668.2,6668.2,2449.02
2023-01-01,03:45 - 04:00,8214.4,19436.0,6666.6,6666.6,2449.3
2023-01-01,04:00 - 04:15,8049.5,19379.6,6833.3,6833.3,2360.9
2023-01-01,04:15 - 04:30,8181.2,18627.7,6893.3,6893.3,2540.95
2023-01-01,04:30 - 04:45,8276.3,17658.6,6949.8,6949.8,2595.41
2023-01-01,04:45 - 05:00,8380.8,16742.7,6848.9,6848.9,2768.75
2023-01-01,05:00 - 05:15,9909.0,16771.8,7722.5,7722.5,2939.0
2023-01-01,05:15 - 05:30,11174.8,16425.7,8476.04,8476.04,3428.4
2023-01-01,05:30 - 05:45,12813.7,16080.9,9292.2,9292.2,3726.43
2023-01-01,05:45 - 06:00,13658.1,15486.7,10086.8,10086.8,3814.93
2023-01-01,06:00 - 06:15,14360.1,14842.8,10967.79,10967.79,4270.7
2023-01-01,06:15 - 06:30,14928.2,13826.5,11170.61,11170.61,4680.35
2023-01-01,06:30 - 06:45,15454.4,12861.5,10777.1,10777.1,6000.42
2023-01-01,06:45 - 07:00,15678.5,11929.1,10371.8,10371.8,6509.36
2023-01-01,07:00 - 07:15,14298.1,11846.6,10128.8,10128.8,5500.69
2023-01-01,07:15 - 07:30,14631.1,11689.9,10159.79,10159.79,6500.2
2023-01-01,07:30 - 07:45,14734.0,11406.8,10254.39,10254.39,7680.51
2023-01-01,07:45 - 08:00,14592.2,10662.3,9626.9,9626.9,8400.38
2023-01-01,08:00 - 08:15,14667.4,11001.7,9992.0,9992.0,8392.51
2023-01-01,08:15 - 08:30,14237.6,10430.6,9420.9,9420.9,8400.14
2023-01-01,08:30 - 08:45,13413.4,9436.8,8427.1,8427.1,8400.52
2023-01-01,08:45 - 09:00,13227.3,9128.6,8138.9,8138.9,8400.72
2023-01-01,09:00 - 09:15,13331.6,9841.4,8803.5,8803.5,8400.07
2023-01-01,09:15 - 09:30,13521.8,9315.7,8267.8,8267.8,8400.68
2023-01-01,09:30 - 09:45,13475.6,8805.0,7762.1,7762.1,8400.91
2023-01-01,09:45 - 10:00,13398.3,8680.6,7608.7,7608.7,8400.94
2023-01-01,10:00 - 10:15,13746.3,9318.8,8217.7,8217.7,8400.48
2023-01-01,10:15 - 10:30,13906.1,9640.8,8539.7,8539.7,8400.32
2023-01-01,10:30 - 10:45,13381.4,9732.0,8403.55,8403.55,7680.74
2023-01-01,10:45 - 11:00,13147.7,9983.3,8262.09,8262.09,6999.07
2023-01-01,11:00 - 11:15,13551.6,10615.8,8726.8,8726.8,7000.54
2023-01-01,11:15 - 11:30,13468.8,10584.2,8678.3,8678.3,7000.69
2023-01-01,11:30 - 11:45,13063.3,10540.0,8525.1,8525.1,6999.55
2023-01-01,11:45 - 12:00,12943.8,11014.4,8500.52,8500.52,6998.36
2023-01-01,12:00 - 12:15,11876.3,11589.4,8027.7,8027.7,4998.84
2023-01-01,12:15 - 12:30,10885.6,12554.0,7698.8,7698.8,4099.03
2023-01-01,12:30 - 12:45,10333.3,12990.8,7337.22,7337.22,4000.52
2023-01-01,12:45 - 13:00,10000.1,13778.2,7094.3,7094.3,3947.29
2023-01-01,13:00 - 13:15,9665.2,14657.9,6846.3,6846.3,3756.22
2023-01-01,13:15 - 13:30,9730.6,15406.2,7001.4,7001.4,3735.3
2023-01-01,13:30 - 13:45,9625.3,15685.0,6878.3,6878.3,3708.12
2023-01-01,13:45 - 14:00,10074.1,16129.5,7325.2,7325.2,3726.3
2023-01-01,14:00 - 14:15,10400.7,16231.7,7567.4,7567.4,3726.02
2023-01-01,14:15 - 14:30,10723.4,16498.0,7890.4,7890.4,3708.28
2023-01-01,14:30 - 14:45,11272.1,16744.8,8436.7,8436.7,3726.35
2023-01-01,14:45 - 15:00,11549.3,16965.7,8711.7,8711.7,3708.87
2023-01-01,15:00 - 15:15,12365.6,15723.2,9354.83,9354.83,4000.1
2023-01-01,15:15 - 15:30,12658.2,15433.6,9638.07,9638.07,4000.34
2023-01-01,15:30 - 15:45,13034.9,15339.3,10164.4,10164.4,4099.32
2023-01-01,15:45 - 16:00,13465.8,14750.8,10217.4,10217.4,4342.96
2023-01-01,16:00 - 16:15,13258.0,13380.6,9822.1,9822.1,4718.85
2023-01-01,16:15 - 16:30,13738.2,12773.7,10204.6,10204.6,5800.4
2023-01-01,16:30 - 16:45,13734.4,12289.8,9760.7,9760.7,5890.86
2023-01-01,16:45 - 17:00,13735.6,12012.8,9845.7,9845.7,6000.02
2023-01-01,17:00 - 17:15,13868.4,12547.3,9911.1,9911.1,5998.29
2023-01-01,17:15 - 17:30,13784.5,13042.5,9949.1,9949.1,4829.89
2023-01-01,17:30 - 17:45,13709.4,13012.7,9663.7,9663.7,4829.94
2023-01-01,17:45 - 18:00,13653.8,12690.1,9519.37,9519.37,5740.33
2023-01-01,18:00 - 18:15,13765.7,12482.9,9570.05,9570.05,6000.96
2023-01-01,18:15 - 18:30,13701.7,11732.2,9312.24,9312.24,7680.24
2023-01-01,18:30 - 18:45,13608.1,12019.7,9304.9,9304.9,6394.22
2023-01-01,18:45 - 19:00,13269.7,11074.9,8801.04,8801.04,7680.65
2023-01-01,19:00 - 19:15,13130.9,10013.7,7959.2,7959.2,8400.55
2023-01-01,19:15 - 19:30,12773.5,10006.6,7886.1,7886.1,8400.26
2023-01-01,19:30 - 19:45,12122.0,10243.7,8023.2,8023.2,8000.25
2023-01-01,19:45 - 20:00,11681.6,10679.9,7817.7,7817.7,6608.52
2023-01-01,20:00 - 20:15,11035.1,10700.2,7297.6,7297.6,5998.41
2023-01-01,20:15 - 20:30,10652.8,10440.9,7058.19,7058.19,5500.92
2023-01-01,20:30 - 20:45,10494.8,10082.9,6748.1,6748.1,6000.07
2023-01-01,20:45 - 21:00,10103.3,10271.0,6548.3,6548.3,5499.87
2023-01-01,21:00 - 21:15,9778.2,11525.8,6580.0,6580.0,4718.45
2023-01-01,21:15 - 21:30,9714.0,12629.6,6809.8,6809.8,4499.84
2023-01-01,21:30 - 21:45,9184.5,13696.1,6599.93,6599.93,4270.88
2023-01-01,21:45 - 22:00,8815.0,14755.8,6417.0,6417.0,3814.83
2023-01-01,22:00 - 22:15,8657.9,15807.4,5610.7,5610.7,3624.33
2023-01-01,22:15 - 22:30,8642.2,15820.5,6010.67,6010.67,3450.77
2023-01-01,22:30 - 22:45,8304.8,16554.6,5794.09,5794.09,3307.86
2023-01-01,22:45 - 23:00,7840.4,17258.6,5513.1,5513.1,3030.76
2023-01-01,23:00 - 23:15,7506.6,18037.5,5739.5,5739.5,2918.76
2023-01-01,23:15 - 23:30,7278.3,18518.4,5523.0,5523.0,2891.35
2023-01-01,23:30 - 23:45,7007.7,19192.0,5558.7,5558.7,2768.61
2023-01-01,23:45 - 24:00,6874.2,19350.1,5424.5,5424.5,2768.15
2023-01-02,00:00 - 00:15,6393.0,16325.4,5297.6,5297.6,2543.58
2023-01-02,00:15 - 00:30,6370.0,17406.3,5350.6,5350.6,2449.57
2023-01-02,00:30 - 00:45,6434.7,18490.0,5601.9,5601.9,2360.1
2023-01-02,00:45 - 01:00,6483.0,19742.2,5701.4,5701.4,2138.69
2023-01-02,01:00 - 01:15,6619.4,20542.7,5666.1,5666.1,2115.69
2023-01-02,01:15 - 01:30,6595.0,21472.1,5643.0,5643.0,2107.04
2023-01-02,01:30 - 01:45,6604.2,22453.5,5652.1,5652.1,2083.99
2023-01-02,01:45 - 02:00,6546.2,22619.0,5593.0,5593.0,2083.25
2023-01-02,02:00 - 02:15,6773.0,22782.3,5640.2,5640.2,2000.13
2023-01-02,02:15 - 02:30,6728.0,22940.0,5601.4,5601.4,1999.8
2023-01-02,02:30 - 02:45,6721.9,23003.0,5596.4,5596.4,1999.74
2023-01-02,02:45 - 03:00,6728.1,23017.5,5603.1,5603.1,1999.68
2023-01-02,03:00 - 03:15,6922.0,23116.8,5794.4,5794.4,1999.9
2023-01-02,03:15 - 03:30,6987.2,23061.7,5810.6,5810.6,2030.16
2023-01-02,03:30 - 03:45,7040.9,23048.4,5834.7,5834.7,2083.27
2023-01-02,03:45 - 04:00,7152.9,22894.8,5946.6,5946.6,2107.29
2023-01-02,04:00 - 04:15,7031.8,22086.4,6081.1,6081.1,2103.67
2023-01-02,04:15 - 04:30,7196.3,20919.2,6245.9,6245.9,2138.31
2023-01-02,04:30 - 04:45,7156.6,19690.7,6381.7,6381.7,2151.8
2023-01-02,04:45 - 05:00,7395.6,18864.0,6307.5,6307.5,2543.33
2023-01-02,05:00 - 05:15,8586.8,17729.3,6621.9,6621.9,2891.38
2023-01-02,05:15 - 05:30,9870.4,17971.8,7769.8,7769.8,3000.38
2023-01-02,05:30 - 05:45,11510.6,17166.5,8540.8,8540.8,3510.2
2023-01-02,05:45 - 06:00,12486.3,16182.5,9027.5,9027.5,3735.25
2023-01-02,06:00 - 06:15,13601.7,15629.5,10275.0,10275.0,4050.87
2023-01-02,06:15 - 06:30,14663.9,14171.8,11238.2,11238.2,4499.84
2023-01-02,06:30 - 06:45,15550.6,13274.2,11308.7,11308.7,5800.64
2023-01-02,06:45 - 07:00,15728.2,12654.2,11054.9,11054.9,6300.28
2023-01-02,07:00 - 07:15,15047.6,12706.1,11238.5,11238.5,5000.39
2023-01-02,07:15 - 07:30,15790.4,12538.7,11172.8,11172.8,6099.3
2023-01-02,07:30 - 07:45,16310.6,12154.7,11251.4,11251.4,7500.5
2023-01-02,07:45 - 08:00,16709.8,11619.6,10996.5,10996.5,8000.53
2023-01-02,08:00 - 08:15,16748.9,10990.4,10717.72,10717.72,10000.58
2023-01-02,08:15 - 08:30,16724.7,9882.6,9726.7,9726.7,12000.0
2023-01-02,08:30 - 08:45,16222.8,9087.4,8931.49,8931.49,12000.0
2023-01-02,08:45 - 09:00,15679.0,8626.6,8570.7,8570.7,12000.0
2023-01-02,09:00 - 09:15,15605.7,9211.1,9155.2,9155.2,10020.07
2023-01-02,09:15 - 09:30,15944.4,8619.4,8563.5,8563.5,12000.0
2023-01-02,09:30 - 09:45,16457.7,8073.4,8017.5,8017.5,12000.0
2023-01-02,09:45 - 10:00,15977.8,7966.1,7910.2,7910.2,12000.0
2023-01-02,10:00 - 10:15,15952.4,8740.7,8683.8,8683.8,12000.0
2023-01-02,10:15 - 10:30,16135.7,8858.1,8801.2,8801.2,12000.0
2023-01-02,10:30 - 10:45,16244.5,9214.6,9157.69,9157.69,12000.0
2023-01-02,10:45 - 11:00,15538.2,9375.6,9216.03,9216.03,10000.95
2023-01-02,11:00 - 11:15,15446.2,9819.4,9421.1,9421.1,8863.44
2023-01-02,11:15 - 11:30,15075.7,9481.1,9073.19,9073.19,9000.02
2023-01-02,11:30 - 11:45,14925.7,9315.9,8419.0,8419.0,7699.92
2023-01-02,11:45 - 12:00,14942.6,9354.8,8303.06,8303.06,8863.41
2023-01-02,12:00 - 12:15,14244.0,9816.7,7880.7,7880.7,7500.89
2023-01-02,12:15 - 12:30,13107.8,10454.8,7897.5,7897.5,6420.73
2023-01-02,12:30 - 12:45,12450.7,11444.6,7894.3,7894.3,5026.26
2023-01-02,12:45 - 13:00,12108.1,11953.7,7651.26,7651.26,4680.95
2023-01-02,13:00 - 13:15,11501.5,11663.2,7128.03,7128.03,4680.58
2023-01-02,13:15 - 13:30,11615.8,12182.8,7406.4,7406.4,4608.43
2023-01-02,13:30 - 13:45,11353.3,12396.9,7267.47,7267.47,4390.18
2023-01-02,13:45 - 14:00,11538.0,12592.7,7482.15,7482.15,4400.9
2023-01-02,14:00 - 14:15,12001.6,12969.6,7923.4,7923.4,4546.65
2023-01-02,14:15 - 14:30,12559.2,13134.6,8380.8,8380.8,4608.85
2023-01-02,14:30 - 14:45,13445.2,13413.4,8935.8,8935.8,4829.5
2023-01-02,14:45 - 15:00,13806.4,13582.1,9291.6,9291.6,4889.12
2023-01-02,15:00 - 15:15,14074.8,12772.0,9259.93,9259.93,5959.3
2023-01-02,15:15 - 15:30,14148.8,12375.2,9509.7,9509.7,6000.0
2023-01-02,15:30 - 15:45,14664.8,12749.2,10033.7,10033.7,6000.02
2023-01-02,15:45 - 16:00,14457.0,12322.1,9806.6,9806.6,6000.0
2023-01-02,16:00 - 16:15,14026.8,10899.0,8987.7,8987.7,6999.17
2023-01-02,16:15 - 16:30,13538.0,10362.9,8659.6,8659.6,6970.7
2023-01-02,16:30 - 16:45,13765.6,9765.4,8623.6,8623.6,8000.09
2023-01-02,16:45 - 17:00,14142.4,9576.2,8688.4,8688.4,8000.35
2023-01-02,17:00 - 17:15,14925.6,10022.6,9427.7,9427.7,8000.24
2023-01-02,17:15 - 17:30,14959.8,9658.0,9233.1,9233.1,8000.53
2023-01-02,17:30 - 17:45,15472.9,10494.0,9903.9,9903.9,7509.58
2023-01-02,17:45 - 18:00,15987.8,10130.7,9881.8,9881.8,8000.54
2023-01-02,18:00 - 18:15,16361.8,10404.7,10188.4,10188.4,8000.66
2023-01-02,18:15 - 18:30,16327.6,9870.6,9735.3,9735.3,10000.16
2023-01-02,18:30 - 18:45,16069.6,9187.3,9051.99,9051.99,12000.0
2023-01-02,18:45 - 19:00,15205.9,8618.7,8383.4,8383.4,12000.0
2023-01-02,19:00 - 19:15,14712.4,8427.1,8091.8,8091.8,12000.0
2023-01-02,19:15 - 19:30,14074.0,8485.0,7925.2,7925.2,8863.72
2023-01-02,19:30 - 19:45,13192.1,8466.0,7443.3,7443.3,8000.84
2023-01-02,19:45 - 20:00,12225.5,8685.9,7261.2,7261.2,8000.47
2023-01-02,20:00 - 20:15,11003.3,9022.1,6752.4,6752.4,6700.85
2023-01-02,20:15 - 20:30,10286.0,8919.3,6216.8,6216.8,6099.06
2023-01-02,20:30 - 20:45,9330.9,8571.7,5441.8,5441.8,5100.43
2023-01-02,20:45 - 21:00,9109.8,8707.1,5340.2,5340.2,5050.46
2023-01-02,21:00 - 21:15,8655.7,9359.6,5446.8,5446.8,4999.77
2023-01-02,21:15 - 21:30,8503.2,10081.5,5583.5,5583.5,4514.0
