segment,RMSE,MAE,MAPE,R2,WAPE
hour_bucket=0,2477.4794,1389.2228,28.5108,0.2312,28.4054
hour_bucket=1,1683.2719,1016.1287,45.359,0.5556,25.5736
hour_bucket=2,688.986,525.4668,78.9514,0.4124,28.6565
hour_bucket=3,1076.2933,644.768,40.1372,0.5079,22.1171
hour_bucket=4,2466.6883,1456.6297,25.4841,0.265,21.0133
OVERALL,1950.5073,1070.2398,41.1589,0.5388,25.2458
