segment,RMSE,MAE,MAPE,R2,WAPE
hour_bucket=0,1184.264,649.0269,13.129,0.8243,13.2706
hour_bucket=1,936.0136,574.3019,32.9365,0.8626,14.4538
hour_bucket=2,547.4852,393.1096,80.4721,0.629,21.4384
hour_bucket=3,675.7196,404.5181,30.3029,0.8061,13.876
hour_bucket=4,1387.2516,882.1668,15.0021,0.7675,12.7261
OVERALL,1029.7158,592.0251,30.8286,0.8715,13.9653
