segment,RMSE,MAE,MAPE,R2,WAPE
season=0,734.5365,384.1769,8.6081,0.8962,9.5199
season=1,1135.3646,705.4094,35.0085,0.8625,15.0589
season=2,1172.6911,688.816,34.4524,0.8604,15.7073
season=3,762.6609,455.964,57.13,0.8454,15.9104
OVERALL,1034.0764,597.8301,30.7998,0.8704,14.1022
