feature,importance
day_of_year,1774
mcp_lag_1d,1153
day_of_week,903
delhi_apparent_temp,851
block,681
mumbai_apparent_temp,653
mcp_rolling_7d_mean,594
mcp_lag_7d,585
mcp_rolling_7d_std,505
mcp_rolling_30d_std,479
mcp_rolling_30d_mean,387
year,338
is_holiday,239
hour_bucket,192
month,170
hour,109
season,92
is_weekend,91
