segment,RMSE,MAE,MAPE,R2,WAPE
hour_bucket=0,1289.9895,760.5656,16.3567,0.7916,15.5512
hour_bucket=1,1017.0791,629.3116,30.3305,0.8377,15.8383
hour_bucket=2,491.2913,381.9771,58.7579,0.7012,20.8312
hour_bucket=3,807.8835,490.9887,32.1854,0.7228,16.8421
hour_bucket=4,1766.5268,1126.5092,19.2741,0.623,16.251
OVERALL,1181.613,691.653,28.8769,0.8307,16.3154
