y_pred,lower,upper
3104.4969052002125,1687.7850229861695,4521.208787414255
3123.894701260375,1707.1828190463318,4540.606583474418
3084.7166100852774,1668.0047278712343,4501.42849229932
3082.176454192464,1665.464571978421,4498.888336406507
2989.400980681763,1572.68909846772,4406.112862895806
2939.0349985309003,1522.3231163168573,4355.746880744943
2884.450110576203,1467.7382283621598,4301.161992790246
2762.878098706773,1346.16621649273,4179.589980920816
2694.026352433808,1277.3144702197649,4110.738234647851
2695.7817293246626,1279.0698471106195,4112.493611538705
2706.1382622142846,1289.4263800002416,4122.850144428327
2691.8643881483003,1275.1525059342573,4108.576270362343
2656.6722500242176,1239.9603678101746,4073.3841322382605
2633.014210999885,1216.302328785842,4049.726093213928
2647.3106332967873,1230.5987510827442,4064.02251551083
2635.3013148820028,1218.5894326679597,4052.0131970960456
2704.6725578420446,1287.9606756280016,4121.384440056087
2636.778198458167,1220.066316244124,4053.49008067221
2627.635773905058,1210.9238916910151,4044.347656119101
2661.5436342289904,1244.8317520149474,4078.2555164430332
2965.765940246725,1549.0540580326822,4382.477822460768
3154.4647897820105,1737.7529075679674,4571.176671996053
3340.5728235108254,1923.8609412967824,4757.284705724868
3499.141984235641,2082.430102021598,4915.853866449684
3910.642973085749,2493.931090871706,5327.354855299792
4147.380924276542,2730.669042062499,5564.092806490585
4441.097143971681,3024.3852617576385,5857.809026185724
4643.638016360812,3226.926134146769,6060.349898574855
7784.2903994222,6367.578517208157,9201.002281636243
9086.28233919415,7669.570456980106,10502.994221408193
9241.935984865762,7825.2241026517195,10658.647867079806
9311.052660248737,7894.340778034694,10727.76454246278
9321.123567039816,7904.411684825774,10737.83544925386
9400.472158069082,7983.760275855039,10817.184040283126
9738.223921933793,8321.51203971975,11154.935804147837
9795.282747080084,8378.57086486604,11211.994629294128
9737.102066752821,8320.390184538777,11153.813948966865
9723.448354137974,8306.73647192393,11140.160236352018
9334.290494940331,7917.578612726288,10751.002377154375
9256.47629527998,7839.764413065936,10673.188177494023
