y_pred,lower,upper
2712.2258944746786,537.4912706734549,4886.960518275902
2723.699897639773,548.9652738385494,4898.434521440997
2652.3426829017335,477.60805910050976,4827.077306702957
2649.227315963118,474.4926921618944,4823.961939764342
2566.638573736153,391.9039499349292,4741.373197537377
2519.9584445936803,345.22382079245654,4694.693068394904
2473.5098270003446,298.7752031991208,4648.244450801569
2350.2756159492938,175.54099214807002,4525.010239750518
2289.71364650874,114.97902270751638,4464.448270309964
2289.71364650874,114.97902270751638,4464.448270309964
2268.859699636832,94.12507583560819,4443.594323438056
2268.859699636832,94.12507583560819,4443.594323438056
2232.9662449273446,58.2316211261209,4407.700868728569
2200.833611501892,26.098987700668204,4375.568235303115
2200.833611501892,26.098987700668204,4375.568235303115
2200.833611501892,26.098987700668204,4375.568235303115
2268.859699636832,94.12507583560819,4443.594323438056
2200.833611501892,26.098987700668204,4375.568235303115
2200.833611501892,26.098987700668204,4375.568235303115
2264.502096429206,89.76747262798244,4439.23672023043
2545.729982472191,370.9953586709671,4720.464606273415
2701.3047987726736,526.5701749714499,4876.039422573897
2897.003539371724,722.2689155705002,5071.738163172948
3100.352181133381,925.617557332157,5275.0868049346045
3723.3138194338762,1548.5791956326525,5898.0484432351
3996.6340986537443,1821.8994748525206,6171.3687224549685
4371.174553332968,2196.439929531744,6545.909177134192
4639.031341817391,2464.2967180161672,6813.765965618615
8701.315564827215,6526.580941025992,10876.050188628438
10291.808062755197,8117.073438953974,12466.54268655642
10604.98698840114,8430.252364599917,12779.721612202364
10807.549619498937,8632.814995697714,12982.28424330016
10871.754013707377,8697.019389906154,13046.4886375086
10950.188365253816,8775.453741452593,13124.92298905504
11487.58091018513,9312.846286383907,13662.315533986353
11438.180994415257,9263.446370614034,13612.91561821648
11434.979808570537,9260.245184769314,13609.71443237176
11386.996082752214,9212.26145895099,13561.730706553437
11086.518067089684,8911.783443288461,13261.252690890908
10604.822311347274,8430.08768754605,12779.556935148497
8015.200649978226,5840.466026177002,10189.935273779449
6931.967462087938,4757.2328382867145,9106.702085889161
5754.199321861094,3579.4646980598704,7928.933945662318
5041.587506595736,2866.8528827945124,7216.32213039696
4067.323083967365,1892.5884601661414,6242.057707768588
3776.774919825658,1602.0402960244342,5951.509543626882
3621.797976435074,1447.0633526338502,5796.532600236298
3590.121447532342,1415.386823731118,5764.8560713335655
3315.5570098935264,1140.8223860923026,5490.29163369475
3348.459258735014,1173.7246349337902,5523.193882536238
3331.06612836825,1156.331504567026,5505.8007521694735
3263.4657654276207,1088.731141626397,5438.200389228845
2774.4196562480597,599.685032446836,4949.154280049283
2802.8312473654146,628.0966235641908,4977.565871166638
2852.0693562984993,677.3347324972756,5026.803980099723
2862.66000389759,687.9253800963661,5037.394627698814
2996.134172599593,821.3995487983693,5170.868796400817
3019.1460944768,844.4114706755763,5193.880718278024
3234.8149808132193,1060.0803570119956,5409.5496046144435
3237.7054305182255,1062.9708067170018,5412.44005431945
3347.5865800570236,1172.8519562558,5522.321203858248
3404.001903495209,1229.267279693985,5578.7365272964325
