y_pred,lower,upper
3104.4969052002125,1229.9793034336228,4979.014506966802
3123.894701260375,1249.3770994937852,4998.412303026965
3084.7166100852774,1210.1990083186877,4959.234211851867
3082.176454192464,1207.6588524258743,4956.694055959054
2989.400980681763,1114.8833789151734,4863.918582448353
2939.0349985309003,1064.5173967643107,4813.55260029749
2884.450110576203,1009.9325088096132,4758.967712342793
2762.878098706773,888.3604969401833,4637.395700473363
2694.026352433808,819.5087506672182,4568.543954200398
2695.7817293246626,821.2641275580729,4570.2993310912525
2706.1382622142846,831.620660447695,4580.6558639808745
2691.8643881483003,817.3467863817107,4566.38198991489
2656.6722500242176,782.154648257628,4531.189851790808
2633.014210999885,758.4966092332954,4507.531812766475
2647.3106332967873,772.7930315301976,4521.828235063377
2635.3013148820028,760.7837131154131,4509.818916648593
2704.6725578420446,830.154956075455,4579.1901596086345
2636.778198458167,762.2605966915773,4511.295800224757
2627.635773905058,753.1181721384685,4502.153375671648
2661.5436342289904,787.0260324624007,4536.06123599558
2965.765940246725,1091.2483384801355,4840.283542013315
3154.4647897820105,1279.9471880154208,5028.9823915486
3340.5728235108254,1466.0552217442357,5215.090425277415
3499.141984235641,1624.6243824690512,5373.659586002231
3910.642973085749,2036.1253713191593,5785.160574852339
4147.380924276542,2272.863322509952,6021.898526043132
4441.097143971681,2566.5795422050915,6315.614745738271
4643.638016360812,2769.120414594222,6518.155618127402
7784.2903994222,5909.77279765561,9658.808001188789
9086.28233919415,7211.764737427559,10960.799940960738
9241.935984865762,7367.418383099172,11116.453586632351
9311.052660248737,7436.535058482147,11185.570262015326
9321.123567039816,7446.6059652732265,11195.641168806405
9400.472158069082,7525.954556302492,11274.989759835671
9738.223921933793,7863.706320167204,11612.741523700382
9795.282747080084,7920.765145313494,11669.800348846673
9737.102066752821,7862.584464986231,11611.61966851941
9723.448354137974,7848.930752371384,11597.965955904563
9334.290494940331,7459.772893173741,11208.80809670692
9256.47629527998,7381.958693513389,11130.993897046568
7769.440403241548,5894.922801474958,9643.958005008137
6576.087768562051,4701.570166795461,8450.60537032864
5539.362067757815,3664.8444659912248,7413.879669524405
5053.964074995718,3179.446473229128,6928.481676762308
4362.941068712797,2488.4234669462066,6237.4586704793865
4065.427770467155,2190.910168700565,5939.945372233745
3974.907291231997,2100.389689465407,5849.424892998587
3920.0047650559573,2045.4871632893676,5794.522366822547
3735.032619899488,1860.5150181328984,5609.550221666078
3773.957260375988,1899.4396586093983,5648.474862142578
3708.527205425664,1834.0096036590742,5583.044807192254
3670.566179531481,1796.0485777648912,5545.083781298071
3213.8049499377375,1339.2873481711479,5088.322551704327
3214.9178687233652,1340.4002669567756,5089.435470489955
3269.098543179425,1394.5809414128355,5143.616144946015
3305.6414298638992,1431.1238280973096,5180.159031630489
3440.626368503028,1566.1087667364384,5315.143970269618
3451.341002426023,1576.8234006594332,5325.858604192613
3644.643716058432,1770.1261142918422,5519.161317825022
3664.628675130516,1790.1110733639264,5539.146276897106
3707.561217923998,1833.0436161574082,5582.078819690588
3766.8474750024907,1892.329873235901,5641.365076769081
3924.6529013101826,2050.1352995435927,5799.170503076773
4038.6549522922724,2164.1373505256825,5913.172554058862
4399.507556472119,2524.9899547055293,6274.025158238709
4532.008195429866,2657.490593663276,6406.525797196456
4706.858081359504,2832.3404795929137,6581.3756831260935
5289.631500113581,3415.113898346991,7164.149101880171
9144.227702048345,7269.710100281755,11018.745303814934
9283.586841639946,7409.069239873356,11158.104443406535
9583.672784858005,7709.155183091415,11458.190386624594
9655.64906906354,7781.13146729695,11530.166670830129
9920.668176159059,8046.150574392469,11795.185777925648
9992.458228352189,8117.940626585599,11866.975830118778
9993.92722061227,8119.40961884568,11868.444822378859
9970.58235631758,8096.06475455099,11845.099958084169
9219.707143172243,7345.1895414056535,11094.224744938832
9151.206757032807,7276.689155266217,11025.724358799396
9109.176530557539,7234.658928790949,10983.694132324128
8369.27712511699,6494.759523350401,10243.79472688358
4780.122019095812,2905.604417329222,6654.639620862402
4687.1260343955655,2812.6084326289756,6561.643636162155
4576.436575699074,2701.918973932484,6450.954177465664
4438.67195012726,2564.15434836067,6313.18955189385
3868.1994842377317,1993.681882471142,5742.717086004322
3862.792009976227,1988.2744082096372,5737.309611742817
3858.3601314951666,1983.842529728577,5732.8777332617565
3855.9471974502376,1981.429595683648,5730.4647992168275
3625.4486647261656,1750.931062959576,5499.9662664927555
3578.1125791732047,1703.594977406615,5452.630180939795
3556.9454881448473,1682.4278863782577,5431.463089911437
3541.7765929037705,1667.2589911371808,5416.29419467036
3381.939326737949,1507.4217249713595,5256.456928504539
3321.5484783932043,1447.0308766266146,5196.066080159794
3195.0808470509364,1320.5632452843467,5069.598448817526
3246.1063551309926,1371.588753364403,5120.6239568975825
2873.040021485678,998.5224197190885,4747.557623252268
2814.9942599060596,940.4766581394699,4689.5118616726495
2810.780339230376,936.2627374637862,4685.297940996966
2722.2015213687555,847.6839196021658,4596.719123135345
2638.1956101946416,763.678008428052,4512.7132119612315
2636.3166539503436,761.7990521837539,4510.8342557169335
2595.9760564766475,721.4584547100578,4470.493658243237
2549.4087767823075,674.8911750157179,4423.926378548897
2541.1498993309506,666.6322975643609,4415.6675010975405
2538.331920007826,663.8143182412362,4412.849521774416
2525.5560790085874,651.0384772419977,4400.073680775177
2519.573602688324,645.0560009217345,4394.091204454914
2511.006134946976,636.4885331803864,4385.523736713566
2510.8110919086903,636.2934901421006,4385.32869367528
2512.872561954311,638.3549601877214,4387.390163720901
2519.6152501934557,645.097648426866,4394.132851960046
2536.462730580388,661.9451288137982,4410.980332346978
2544.8741104906658,670.3565087240761,4419.391712257256
2544.104108540574,669.5865067739844,4418.621710307164
2554.901305498526,680.3837037319365,4429.418907265116
2911.4071702258952,1036.8895684593056,4785.924771992485
3082.8428968928056,1208.325295126216,4957.3604986593955
3331.9752231804596,1457.45762141387,5206.4928249470495
3478.1371899232327,1603.619588156643,5352.654791689823
3854.8968655344506,1980.379263767861,5729.4144673010405
4107.277627737145,2232.760025970555,5981.795229503735
4482.747569147934,2608.229967381344,6357.265170914524
5150.545652269124,3276.028050502534,7025.063254035714
8963.050281985692,7088.532680219102,10837.567883752281
9161.429158346727,7286.911556580138,11035.946760113316
9290.437852923904,7415.920251157314,11164.955454690493
9321.852684155136,7447.335082388546,11196.370285921725
9355.792902359099,7481.275300592509,11230.310504125688
9502.184133747156,7627.666531980566,11376.701735513745
9423.625062835199,7549.107461068609,11298.142664601788
9440.960124977952,7566.442523211362,11315.47772674454
9387.127718088304,7512.6101163217145,11261.645319854893
9320.897221414285,7446.379619647695,11195.414823180874
9270.372617063025,7395.855015296435,11144.890218829614
9234.663272276695,7360.145670510105,11109.180874043284
5492.364952703676,3617.847350937086,7366.882554470266
4902.345245297271,3027.8276435306807,6776.8628470638605
4447.8748252826335,2573.3572235160436,6322.392427049223
4151.83133098777,2277.3137292211804,6026.34893275436
3919.56494926475,2045.0473474981602,5794.08255103134
3830.4209145987697,1955.90331283218,5704.93851636536
3886.6135681409505,2012.0959663743608,5761.13116990754
3793.986538254452,1919.4689364878625,5668.504140021042
3599.4875474447617,1724.969945678172,5474.005149211352
3589.5875160033756,1715.069914236786,5464.105117769966
3544.6027902085916,1670.085188442002,5419.1203919751815
3537.400894965511,1662.8832931989211,5411.918496732101
3053.919327688345,1179.4017259217555,4928.436929454935
3032.43277817787,1157.9151764112805,4906.95037994446
3120.479455273977,1245.961853507387,4994.997057040567
3145.725135378918,1271.2075336123282,5020.242737145508
3247.24495365069,1372.7273518841005,5121.76255541728
3252.88697503446,1378.3693732678705,5127.40457680105
3435.984771817166,1561.4671700505762,5310.502373583756
3528.9427264053957,1654.425124638806,5403.460328171986
3555.582465039304,1681.0648632727145,5430.100066805894
3621.0905194965308,1746.572917729941,5495.608121263121
3676.129222589021,1801.6116208224314,5550.646824355611
3887.4075412890816,2012.8899395224919,5761.9251430556715
4134.587755996268,2260.0701542296783,6009.105357762858
4244.738199887215,2370.2205981206253,6119.255801653805
